"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","gender","acfa_brand","acfa_men_style","acfa_size","acfa_women_style"
"031C1","Footwear","simple","Accessories;; Accessories/Men;; Accessories/Men/Footwear;; Accessories/Men/Footwear/Sandals","Yes",1100,"Comfortable red sandals made for men. It also has a shade of black. These sandals have a long-lasting sole. They are simple and comfortable yet well-designed.",,,"sandals1.jpeg",,,,,,"Mens Sandals",,,1100,"Delhi",,"Mens light weight red sandals","sandals2.jpeg",,,,,1,6,,,,,1,100,100,1,,,,,,,,,,,,,,"Yes",10,1100,,1,"No","Yes",,,"Yes",100,"Gautam Pvt Ltd","Gautam",10,100,1100,100,"Red",,"Men","Gautam","Sandals",8,
"031C2","Footwear","simple","Accessories;; Accessories/Men;; Accessories/Men/Footwear;; Accessories/Men/Footwear/Sandals","Yes",1100,"Comfortable red sandals made for men. It also has a shade of black. These sandals have a long-lasting sole. They are simple and comfortable yet well-designed.",,,"sandals3.jpeg",,,,,,"Mens Sandals",,,1100,"Delhi",,"Mens light weight red sandals","sandals4.jpeg",,,,,1,6,,,,,1,100,100,1,,,,,,,,,,,,,,"Yes",10,1100,,1,"No","Yes",,,"Yes",100,"Gautam Pvt Ltd","Gautam",10,100,1100,100,"Red",,"Men","Gautam","Sandals",9,
"031C","Footwear","configurable","Accessories;; Accessories/Men;; Accessories/Men/Footwear;; Accessories/Men/Footwear/Sandals","Yes",1100,"Comfortable red sandals made for men. It also has a shade of black. These sandals have a long-lasting sole. They are simple and comfortable yet well-designed.",,1,"no selection",,,,,,"Mens Sandals",,,1100,"Delhi",1,"Mens light weight red sandals","no selection",,,,,1,6,,,,,4,100,100,1,,,,,,,,,,"031C1,031C2","acfa_size",,,"Yes",10,1100,,1,"No","Yes",,,"Yes",100,"Gautam Pvt Ltd","Gautam",10,100,1100,100,"Red",,"Men","Gautam","Sandals",,
"032C1","Footwear","simple","Accessories;; Accessories/Men;; Accessories/Men/Footwear;; Accessories/Men/Footwear/Shoes","Yes",1500,"Black walking shoes with comfortable fit. Made from tough cloth hence making them durable.",,,"shoes1.jpeg",,,,,,"Mens Shoes",,,1500,"Delhi",,"Mens closed shoes mede from tough cloth making them durable","shoes2.jpeg",,,,,1,6,,,,,1,200,100,1,,,,,,,,,,,,,,"yes",10,1500,,1,"No","Yes",,,"Yes",200,"Arya Pvt Ltd","Arya",10,100,1500,200,"Black",,"Men","Arya","Closed shoes",8,
"032C2","Footwear","simple","Accessories;; Accessories/Men;; Accessories/Men/Footwear;; Accessories/Men/Footwear/Shoes","Yes",1500,"Black walking shoes with comfortable fit. Made from tough cloth hence making them durable.",,,"shoes3.jpeg",,,,,,"Mens Shoes",,,1500,"Delhi",,"Mens closed shoes mede from tough cloth making them durable","shoes4.jpeg",,,,,1,6,,,,,1,200,100,1,,,,,,,,,,,,,,"yes",10,1500,,1,"No","Yes",,,"Yes",200,"Arya Pvt Ltd","Arya",10,100,1500,200,,,"Men","Arya","Closed shoes",9,
"008S","Footwear","simple","Accessories;; Accessories/Men;; Accessories/Men/Footwear;; Accessories/Men/Footwear/Slippers","Yes",900,"Mens black slippers with soft padding. They are comfortable for daily wear. They thave a slightly thick sole hence providing better support for walking.",,,"mensslippers1.jpeg",,,,,,"Mens Slippers",,,900,"Delhi",,"Mens slippers with soft padding and a thick sole providing better walking support","menslippers2.jpeg",,,,,1,6,,,,,4,100,100,1,,,,,,,,,,,,,,"yes",10,900,,1,"No","Yes",,,"Yes",100,"Arya Pvt Ltd","Arya",10,100,900,100,,,"Men","Arya","Slippers",8,
"009S","Footwear","simple","Accessories;; Accessories/Women;; Accessories/Women/Footwear;; Accessories/Women/Footwear/Flats","Yes",1200,"Womens comfortable flat shoes which are light brown in colour. They have a colourful straps. The sole is sturdy enough for everyday use.",,,"ladiesflats1.jpeg",,,,,,"Womens Flats",,,1200,"Delhi",,"Womens brown flats with colourful straps for everyday use","ladiesflats2.jpeg",,,,,1,6,,,,,4,100,100,1,,,,,,,,,,,,,,"yes",10,1200,,1,"No","Yes",,,"Yes",100,"Aisha Pvt Ltd","Aisha",10,100,1200,100,"Brown",,"Women","Aisha",,7,"Flats"
"010S","Footwear","simple","Accessories;; Accessories/Women;; Accessories/Women/Footwear;; Accessories/Women/Footwear/Flats","Yes",1500,"Womens ethnic heels. They are hand decorated with sequinces. They are silver in colour hence can be worn with outfits of different colours. The heel is 2 inches long.",,,"ladiesheels1.jpeg",,,,,,"Womens Heels",,,1500,"Delhi",,"Womens silver ethnic heels","ladiesheels2.jpeg",,,,,1,6,,,,,4,100,100,1,,,,,,,,,,,,,,"yes",10,1500,,1,"No","Yes",,,"Yes",100,"Heaven Arts Pvt Ltd","Amita",10,100,1500,100,"Silver",,"Women","Heaven Arts",,7,"Heels"
"032C","Footwear","configurable","Accessories;; Accessories/Men;; Accessories/Men/Footwear;; Accessories/Men/Footwear/Shoes","Yes",1500,"Black walking shoes with comfortable fit. Made from tough cloth hence making them durable.",,1,"no selection",,,,,,"Mens Shoes",,,1500,"Delhi",1,"Mens closed shoes mede from tough cloth making them durable","no selection",,,,,1,6,,,,,4,200,100,1,,,,,,,,,,"032C1,032C2","acfa_size",,,"yes",10,1500,,1,"No","Yes",,,"Yes",200,"Arya Pvt Ltd","Arya",10,100,1500,200,"Black",,"Men","Arya","Closed shoes",,
