"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","visibility","weight","qty","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","is_in_stock","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","apwu_decorative_accents","apwu_fabric","apwu_kurta_kurti_type","apwu_length","apwu_pattern","apwu_size","apwu_sleeve"
"002CWU1","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","simple","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Kurta","Yes",1000,"A knee length cotton kurta. It has a flower and leaves design motif printed on it. It is made from cotton.",,,,,,,,," Salwar Suits",100,"Delhi",,"A knee length cotton kurta. It has a flower and leaves design motif printed on it. It is made from cotton.",,,,,,1,5,,,1,100,100,,,,,,1,,,,,,,,"Yes",10,1000,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,1000,100,"Pink",,"printed","cotton","straight","knee length","printed","medium","full sleeves"
"002CWU2","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","simple","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Kurta","Yes",1000,"A pink knee length cotton kurta. It has a flower and leaves design motif printed on it. It is made from cotton.",,,,,,,,," Salwar Suits",100,"Delhi",,"A pink knee length cotton kurta. It has a flower and leaves design motif printed on it. It is made from cotton.",,,,,,1,5,,,1,100,100,,,,,,1,,,,,,,,"Yes",10,1000,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,1000,100,"Green",,"printed","cotton","straight","knee length","printed","medium","full sleeves"
"002CWUC1","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","configurable","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Kurta","Yes",1000,"A green knee length cotton kurta. It has a flower and leaves design motif printed on it. It is made from cotton.",,1,,,,,,," Salwar Suits",100,"Delhi",1,"A green knee length cotton kurta. It has a flower and leaves design motif printed on it. It is made from cotton.",,,,,,1,5,,,4,100,100,,,,,,1,,,,,"002CWU1,
002CWU2","color,apwu_size",,"Yes",10,1000,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,1000,100,,,"printed","cotton","straight","knee length","printed","medium","full sleeves"
"002CWU3","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","simple","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Jacket","Yes",900,"A maroon coloured sleeveless jacket. It has embroidered work on it. It is made from cotton.",,,,,,,,,"Jacket",100,"Delhi",,"A maroon coloured sleeveless jacket. It has embroidered work on it. It is made from cotton.",,,,,,1,5,,,1,100,100,,,,,,1,,,,,,,,"Yes",10,900,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,900,100,"Maroon",,"embroidored","cotton",,"short","traditional","medium","sleeveless"
"002CWU4","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","simple","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Jacket","Yes",900,"A maroon coloured sleeveless jacket. It has embroidered work on it. It is made from cotton. It is short in length.",,,,,,,,,"Jacket",100,"Delhi",,"A maroon coloured sleeveless jacket. It has embroidered work on it. It is made from cotton. It is short in length.",,,,,,1,5,,,1,100,100,,,,,,1,,,,,,,,"Yes",10,900,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,900,100,"Maroon",,"embroidored","cotton",,"medium","traditional","medium","sleeveless"
"002CWUC2","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","configurable","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Jacket","Yes",900,"A maroon coloured sleeveless jacket. It has embroidered work on it. It is made from cotton. It is medium in length.",,1,,,,,,,"Jacket",100,"Delhi",1,"A maroon coloured sleeveless jacket. It has embroidered work on it. It is made from cotton. It is medium in length.",,,,,,1,5,,,4,100,100,,,,,,1,,,,,"002CWU3,
002CWU4","color,apwu_size",,"Yes",10,900,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,900,100,"Maroon",,"embroidored","cotton",,,"traditional","medium","sleeveless"
"002CWU5","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","simple","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Phirans","Yes",600,"A knee length Kashmiri Phiran for women. It is made from cotton. It has self designed embroidery along its neck line. It has full sleeves and comes in the medium size.",,,,,,,,,"Phirans",100,"Delhi",,"A knee length Kashmiri Phiran for women. It is made from cotton. It has self designed embroidery along its neck line. It has full sleeves and comes in the medium size.",,,,,,1,5,,,1,100,100,,,,,,1,,,,,,,,"Yes",10,600,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,600,100,"Blue",,"embroidered","cottn",,"knee length","self design","medium","full sleeves"
"002CWU6","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","simple","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Phirans","Yes",600,"A blue knee length Kashmiri Phiran for women. It is made from cotton. It has self designed embroidery along its neck line. It has full sleeves and comes in the medium size.",,,,,,,,,"Phirans",100,"Delhi",,"A blue knee length Kashmiri Phiran for women. It is made from cotton. It has self designed embroidery along its neck line. It has full sleeves and comes in the medium size.",,,,,,1,5,,,1,100,100,,,,,,1,,,,,,,,"Yes",10,600,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,600,100,"Grey",,"embroidered","cottn",,"knee length","self design","medium","full sleeves"
"002CWUC3","Apparels_W_Upperwear_AS and Apparels_W_SalwarSuits_AS","configurable","Apparels;; Apparels/Women;; Apparels/Women/Upperbody & Salwar Suits;; Apparels/Women/Upperbody & Salwar Suits/Phirans","Yes",600,"A grey knee length Kashmiri Phiran for women. It is made from cotton. It has self designed embroidery along its neck line. It has full sleeves and comes in the medium size.",,1,,,,,,,"Phirans",100,"Delhi",1,"A grey knee length Kashmiri Phiran for women. It is made from cotton. It has self designed embroidery along its neck line. It has full sleeves and comes in the medium size.",,,,,,1,5,,,4,100,100,,,,,,1,,,,,"002CWU5,
002CWU6","color,apwu_size",,"Yes",10,600,,1,"No","Yes",,,"Yes",100,"Shakumbhari Pvt Ltd","Shakumbhari",10,100,600,100,,,"embroidered","cottn",,"knee length","self design","medium","full sleeves"
