"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","gender","acba_brand","acba_style"
"029CB1","Bags","simple","Accessories;; Accessories/Bags","Yes",1200,"A sling bag in a pleasing blue colour. It has one main pocket and one small one on the back side. It is comfortable to use and can be used on a daily basis.",,,,,,,,,"Girls Sling Bag",,,1200,"Kashmir",,"A comfortable sling bag for everyday use in bright blue colour","slingbag3.jpeg",,,,,1,6,,,,,1,70,100,1,,,,,,,,,,,,,,"Yes",10,1200,,1,"No","Yes",,,"Yes",70,"Dilkash Pvt Ltd","Dilkash",10,100,1200,70,"Blue",,,"Dilkash","sling bag"
"029CB2","Bags","simple","Accessories;; Accessories/Bags","Yes",1200,"A sling bag in a bright red colour. It has one main pocket and one small one on the back side. It is comfortable to use and can be used on a daily basis.",,,,,,,,,"Girls Sling Bag",,,1200,"Kashmir",,"A comfortable sling bag for everyday use in bright red colour","slingbag4.jpeg",,,,,1,6,,,,,1,70,100,1,,,,,,,,,,,,,,"Yes",10,1200,,1,"No","Yes",,,"Yes",70,"Dilkash Pvt Ltd","Dilkash",10,100,1200,70,"Red",,,"Dilkash","sling bag"
"029CB","Bags","configurable","Accessories;; Accessories/Bags","Yes",1200,"A sling bag with one main pocket and one small one on the back side. It is comfortable to use and can be used on a daily basis.",,1,,,,,,,"Girls Sling Bag",,,1200,"Kashmir",1,"A comfortable sling bag for everyday use in a bright colour","no selection",,,,,1,6,,,,,4,70,100,1,,,,,,,,,,"029CB1,
029CB2
","color",,,"Yes",10,1200,,1,"No","Yes",,,"Yes",70,"Dilkash Pvt Ltd","Dilkash",10,100,1200,70,,,,"Dilkash","sling bag"
"030CB1","Bags","simple","Accessories;; Accessories/Bags","Yes",1500,"A black backpack ideal for everyday use and also to pack stuff for a small trip. It is lustrous black in colour giving it a smooth finish. It has slings for both shoulders.",,,,,,,,,"Boys Bagpack",,,1500,"Kashmir",,"A comfortable bagpack for everyday use black in colour","bagpack3.jpeg",,,,,1,6,,,,,1,70,100,1,,,,,,,,,,,,,,"Yes",10,1500,,1,"No","Yes",,,"Yes",70,"Dilkash Pvt Ltd","Dilkash",10,100,1500,70,"Black",,,"Dilkash","bagpack"
"030CB2","Bags","simple","Accessories;; Accessories/Bags","Yes",1500,"A dark brownbackpack ideal for everyday use and also to pack stuff for a small trip. It is lustrous dark brown in colour giving it a smooth finish. It has slings for both shoulders.",,,,,,,,,"Boys Bagpack",,,1500,"Kashmir",,"A comfortable bagpack for everyday use dark brown in colour","bagpack4.jpeg",,,,,1,6,,,,,1,70,100,1,,,,,,,,,,,,,,"Yes",10,1500,,1,"No","Yes",,,"Yes",70,"Dilkash Pvt Ltd","Dilkash",10,100,1500,70,"Dark brown",,,"Dilkash","bagpack"
"007SB","Bags","simple","Accessories;; Accessories/Bags","Yes",800,"Ladies wallet made up of leather. It is hot red in colour. It has sufficient chains and pouches to fit cards, keys, coins and notes of money separately. It has a lustrous texture.",,,,,,,,,"Ladies Wallet",,,800,"Kashmir",,"A ladies leather wallet with a lustrous texture","ladieswallet2.jpeg",,,,,1,6,,,,,4,60,100,1,,,,,,,,,,,,,,"Yes",10,800,,1,"No","Yes",,,"Yes",60,"Dilkash Pvt Ltd","Dilkash",10,100,800,60,"Red",,,"Dilash","wallet"
"008SB","Bags","simple","Accessories;; Accessories/Bags","Yes",800,"Mens wallet made of pure leather. It is black on the outside and red on the inside. It has a smooth texture with a good finish.",,,,,,,,,"Mens Wallet",,,800,"Kasmir",,"Mens leather wallet black in colour with a smooth texture","menswallet.jpeg",,,,,1,6,,,,,4,50,100,1,,,,,,,,,,,,,,"Yes",10,800,,1,"No","Yes",,,"Yes",50,"Dilkash Pvt Ltd","Dilkash",10,100,800,50,"Black",,,"Dilash","wallet"
"030CB","Bags","configurable","Accessories;; Accessories/Bags","Yes",1500,"A backpack ideal for everyday use and also to pack stuff for a small trip. It is lustrous in texture giving it a smooth finish. It has slings for both shoulders.",,1,,,,,,,"Boys Bagpack",,,1500,"Kashmir",1,"A comfortable bagpack for everyday use","no selection",,,,,1,6,,,,,4,70,100,1,,,,,,,,,,"030CB1,
030CB2
","color",,,"Yes",10,1500,,1,"No","Yes",,,"Yes",70,"Dilkash Pvt Ltd","Dilkash",10,100,1500,70,,,,"Dilkash","bagpack"
