"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","apws_type","apwu_decorative_accents","apwu_fabric","apwu_pattern"
"001CW1","Apparels_W_Sarees","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Sarees;; Apparels/Women/Sarees & Accessories/Sarees/Regular","Yes",500,"A pure cotton saree which has a printed design on it. It is self designed. It is suitable for casual occasions.",,,"no selection",,,,,,"Printed Cotton Saree",,,500,"Maharashtra",,"A printed cotton saree which is self designed",,,,,,1,6,,,,,1,200,100,1,,,,,,,,,,,,,,"Yes",10,500,,1,"No","Yes",,,"Yes",200,"Prachi Pvt Ltd","Prachi",10,100,500,200,"Orange",,"regular","printed","cotton","self design"
"001CW2","Apparels_W_Sarees","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Sarees;; Apparels/Women/Sarees & Accessories/Sarees/Regular","Yes",500,"A pure cotton blue saree which has a printed design on it. It is self designed. It is suitable for casual occasions.",,,"ladiessaree1.jpeg",,,,,,"Printed Cotton Saree",,,500,"Maharashtra",,"A printed blue cotton saree which is self designed",,,,,,1,6,,,,,1,200,100,1,,,,,,,,,,,,,,"Yes",10,500,,1,"No","Yes",,,"Yes",200,"Prachi Pvt Ltd","Prachi",10,100,500,200,"Blue",,"regular","printed","cotton","self design"
"001SW","Apparels_W_Sarees","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Sarees;; Apparels/Women/Sarees & Accessories/Sarees/Bridal","Yes",500,"A pure cotton orange saree which has a printed design on it. It is self designed. It is suitable for casual occasions.",,,"ladiessaree2.jpeg",,,,,,"Printed Cotton Saree",,,500,"Maharashtra",1,"A printed orange cotton saree which is self designed",,,,,,1,6,,,,,4,200,100,1,,,,,,,,,,,,,,"Yes",10,500,,1,"No","Yes",,,"Yes",200,"Prachi Pvt Ltd","Prachi",10,100,500,200,"Orange",,"regular","printed","cotton","self design"
"001CW","Apparels_W_Sarees","configurable","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Sarees;; Apparels/Women/Sarees & Accessories/Sarees/Regular","No",40000,"A bridal saree elegantly self designed with embellished work. It has a blue border. It is made from synthetic material.",,1,"bridalsaree1.jpeg",,,,,,"Red Bridal Saree",,,40000,"Rajasthan",,"A self designed red bridal saree with embellished work",,,,,,1,6,,,,,4,800,20,1,,,,,,,,,,"001CW1,
001CW2","color",,,"Yes",10,40000,,1,"No","Yes",,,"Yes",800,"Prachi Pvt Ltd","Prachi",10,20,40000,800,"Red",,"bridal","embellished","synthetic","self design"
"002CW1","Apparels_W_Sarees","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Sarees;; Apparels/Women/Sarees & Accessories/Sarees/Occasional","Yes",5000,"An elegantly designed saree made from synthetic material. It is self designed with embroidary work on the borders.",,,"no selection",,,,,,"Embroidered Occasional Saree",,,5000,"Rajasthan",,"A self designed embroidered saree for occasional wear",,,,,,1,6,,,,,1,400,100,1,,,,,,,,,,,,,,"Yes",10,5000,,1,"No","Yes",,,"Yes",400,"Prachi Pvt Ltd","Prachi",10,100,5000,400,"Red",,"occasional","embroidered","synthetic","self design"
"002CW2","Apparels_W_Sarees","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Sarees;; Apparels/Women/Sarees & Accessories/Sarees/Occasional","Yes",5000,"An elegantly designed orange saree made from synthetic material. It is self designed with embroidary work in blue on the borders.",,,"ladiesoccasionalsaree1.jpeg",,,,,,"Embroidered Occasional Saree",,,5000,"Rajasthan",,"A self designed embroidered orange saree for occasional wear",,,,,,1,6,,,,,1,400,100,1,,,,,,,,,,,,,,"Yes",10,5000,,1,"No","Yes",,,"Yes",400,"Prachi Pvt Ltd","Prachi",10,100,5000,400,"Orange",,"occasional","embroidered","synthetic","self design"
"002SW","Apparels_W_Sarees","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Sarees;; Apparels/Women/Sarees & Accessories/Sarees/Concept","Yes",5000,"An elegantly designed green saree made from synthetic material. It is self designed with embroidary work in blue on the borders.",,,"ladiesoccasionalsaree2.jpeg",,,,,,"Embroidered Occasional Saree",,,5000,"Rajasthan",,"A self designed embroidered green saree for occasional wear",,,,,,1,6,,,,,4,400,100,1,,,,,,,,,,,,,,"Yes",10,5000,,1,"No","Yes",,,"Yes",400,"Prachi Pvt Ltd","Prachi",10,100,5000,400,"Green",,"occasional","embroidered","synthetic","self design"
"002CW","Apparels_W_Sarees","configurable","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Sarees;; Apparels/Women/Sarees & Accessories/Sarees/Occasional","Yes",12000,"A beautiful concept saree made of pure silk. It is elegantly self designed with green embroidary work on the cream base of the saree.",,1,"ladiesconceptsaree1.jpeg",,,,,,"Embroiered Concept Saree",,,12000,"Rajasthan",1,"A seld designed embroidered silk concept saree",,,,,,1,6,,,,,4,400,100,1,,,,,,,,,,"002CW1,
002CW2","color",,,"Yes",10,12000,,1,"No","Yes",,,"Yes",400,"Prachi Pvt Ltd","Prachi",10,100,12000,400,"Cream",,"concept","embroidered","silk","self design"
