"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","acba_gender","acba_style","acja_base_material","acja_brand","acja_ringsize","acja_type","acja_waist_size","acja_wristsize"
"010SJ","Jewellery","simple","Accessories;; Accessories/Women;; Accessories/Women/Ornaments;; Accessories/Women/Ornaments/Neck","Yes",2500,"A beautiful necklace made from copper metal. The design on it is beautifully etched by skilled craftsmen.",,,"necklace1.jpeg",,,,,,"Copper Necklace",2500,"Punjab",,"A fitted copper necklace self designed by skilled craftsmen",,,,,,1,6,,,4,100,100,1,,,,,,,,,,,,,"Yes",10,2500,,1,"Yes","Yes",,,"Yes",200,"Alisha Pvt Ltd","Alisha",,10,100,2500,"Blue",,"Women","Fitted Necklace","Copper","Alisha",,"Casual",,
"033CJ1","Jewellery","simple","Accessories;; Accessories/Women;; Accessories/Women/Ornaments;; Accessories/Women/Ornaments/Rings","Yes",800,"A beautifully designed copper ring with carved work. Looks elegant on the hand.",,,"ring1.jpeg",,,,,,"Copper Ring",800,"Punjab",,"A carved copper ring for women which looks elegant on the hand",,,,,,1,6,,,1,20,100,1,,,,,,,,,,,,,"Yes",10,800,,1,"Yes","Yes",,,"Yes",20,"Alisha Pvt Ltd","Alisha",,10,100,800,"Red",,"Women","Carved Ring","Copper","Alisha","Medium","Casual",,
"033CJ2","Jewellery","simple","Accessories;; Accessories/Women;; Accessories/Women/Ornaments;; Accessories/Women/Ornaments/Rings","Yes",800,"A beautifully designed copper ring with carved work. Looks elegant on the hand.",,,"ring3.jpeg",,,,,,"Copper Ring",800,"Punjab",,"A carved copper ring for women which looks elegant on the hand",,,,,,1,6,,,1,20,100,1,,,,,,,,,,,,,"Yes",10,800,,1,"Yes","Yes",,,"Yes",20,"Alisha Pvt Ltd","Alisha",,10,100,800,"Blue",,"Women","Carved Ring","Copper","Alisha","Large","Casual",,
"033CJ","Jewellery","configurable","Accessories;; Accessories/Women;; Accessories/Women/Ornaments;; Accessories/Women/Ornaments/Rings","Yes",800,"A beautifully designed copper ring with carved work. Looks elegant on the hand.",,1,"no selection",,,,,,"Copper Ring",800,"Punjab",1,"A carved copper ring for women which looks elegant on the hand",,,,,,1,6,,,4,,,1,,,,,,,,,,"033CJ1,
033CJ2
","acja_ringsize",,"Yes",10,800,,1,"Yes","Yes",,,"Yes",20,"Alisha Pvt Ltd","Alisha",,10,100,800,,,"Women","Carved Ring","Copper","Alisha",,"Casual",,
"011SJ","Jewellery","simple","Accessories;; Accessories/Women;; Accessories/Women/Ornaments;; Accessories/Women/Ornaments/Toe Rings","Yes",300,"A self designed golden toe ring. It has a stud in the form of a flower which has a stone in the centre.",,,"toering1.jpeg",,,,,,"Golden Toe Ring",300,"Punjab",,"A self designed golden toe ring",,,,,,1,6,,,4,20,100,1,,,,,,,,,,,,,"Yes",10,300,,1,"Yes","Yes",,,"Yes",20,"Alisha Pvt Ltd","Alisha",,10,100,300,"Blue",,"Women","Carved","metal","Alisha","Small","Ethnic",,
"012SJ","Jewellery","simple","Accessories;; Accessories/Women;; Accessories/Women/Ornaments;; Accessories/Women/Ornaments/Ankles","Yes",800,"Studded with silver stones, these anklets have a simple yet attractive look. They are 4 fingers broad.",,,"anklets1.jpeg",,,,,,"Anklets",800,"Punjab",,"Silver stone stuuded anklets which are 4 fingers broad",,,,,,1,6,,,4,50,100,1,,,,,,,,,,,,,"Yes",10,800,,1,"Yes","Yes",,,"Yes",50,"Alisha Pvt Ltd","Alisha",,10,100,800,"Blue",,"Women","Self Design","metal","Alisha",,"Ethnic",,
