"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","apwbl_type","apwbl_size","apwu_decorative_accents","apwu_fabric","apwu_pattern"
"001SCSB1","Apparels_W_SareeBlouses","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Blouses;; Apparels/Women/Saress & Accessories/Blousesw/Prestiched","Yes",800,"A cream coloured prestiched saree blouse. It is made from cotton silk. It has elegant embellished work on it which is self designed. It has cap sleeves.",,,"ladiessareeblouse1.jpeg",,,,,,"Prestiched Cream Saree Blouse",,,800,"Rajasthan",,"A prestiched cream blouse with green embroidary work",,,,,,1,5,,,,,1,50,20,1,,,,,,,,,,,,,,"Yes",10,800,,1,"No","Yes",,,,,"Adaa Pvt Ltd","Adaa",10,20,800,50,"cream",,"round neck",34,"embroidered","cotton silk","self design"
"001SCSB2","Apparels_W_SareeBlouses","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Blouses;; Apparels/Women/Saress & Accessories/Blousesw/Prestiched","Yes",800,"A cream coloured prestiched saree blouse. It is made from cotton silk. It has elegant embellished work on it which is self designed. It has cap sleeves.",,,"ladiessareeblouse1.jpeg",,,,,,"Prestiched Cream Saree Blouse",,,800,"Rajasthan",,"A prestiched cream blouse with green embroidary work",,,,,,1,5,,,,,1,50,20,1,,,,,,,,,,,,,,"Yes",10,800,,1,"No","Yes",,,,,"Adaa Pvt Ltd","Adaa",10,20,800,50,"cream",,"round neck",36,"embroidered","cotton silk","self design"
"001SCSB","Apparels_W_SareeBlouses","configurable","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Blouses;; Apparels/Women/Saress & Accessories/Blousesw/Prestiched","Yes",800,"A cream coloured prestiched saree blouse. It is made from cotton silk. It has elegant embellished work on it which is self designed. It has cap sleeves.",,1,"no selection",,,,,,"Prestiched Cream Saree Blouse",,,800,"Rajasthan",1,"A prestiched cream blouse with green embroidary work",,,,,,1,5,,,,,4,,,1,,,,,,,,,,"001SCSB1,001SCSB2","apwbl_size",,,"Yes",10,800,,1,"No","Yes",,,,,"Adaa Pvt Ltd","Adaa",10,20,800,50,"cream",,"round neck",,"embroidered","cotton silk","self design"
"001SCSB3","Apparels_W_SareeBlouses","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Blouses;; Apparels/Women/Saress & Accessories/Blousesw/Material","Yes",800,"A beautiful self designed golden monochromatic blouse piece. It has embellished design on it. It is made from cotton silk fabric. It can be teamed up with multiple sarees.",,,"ladiessareeblouse1.jpeg",,,,,,"Embellished Saree Blouse Material",,,80,"Rajasthan",,"A golden cotton silk self designed embellished saree blouse material",,,,,,1,5,,,,,1,50,100,1,,,,,,,,,,,,,,"Yes",10,80,,1,"No","Yes",,,,,"Adaa Pvt Ltd","Adaa",10,100,80,50,"golden",,"round neck",,"embellished","cotton silk","self design"
"001SCSB4","Apparels_W_SareeBlouses","simple","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Blouses;; Apparels/Women/Saress & Accessories/Blousesw/Material","Yes",800,"A beautiful self designed silver monochromatic blouse piece. It has embellished design on it. It is made from cotton silk fabric. It can be teamed up with multiple sarees.",,,"iessareeblousematerial2.jpeg",,,,,,"Embellished Saree Blouse Material",,,80,"Rajasthan",,"A silver cotton silk self designed embellished saree blouse material",,,,,,1,5,,,,,1,50,100,1,,,,,,,,,,,,,,"Yes",10,80,,1,"No","Yes",,,,,"Adaa Pvt Ltd","Adaa",10,100,80,50,"silver",,"round neck",,"embellished","cotton silk","self design"
"001SCSBC","Apparels_W_SareeBlouses","configurable","Apparels;; Apparels/Women;; Apparels/Women/Sarees & Accessories;; Apparels/Women/Sarees & Accessories/Blouses;; Apparels/Women/Saress & Accessories/Blousesw/Material","Yes",800,"A beautiful self designed monochromatic blouse piece. It has embellished design on it. It is made from cotton silk fabric. It can be teamed up with multiple sarees.",,1,"no selection",,,,,,"Embellished Saree Blouse Material",,,80,"Rajasthan",1,"A cotton silk self designed embellished saree blouse material",,,,,,1,5,,,,,4,,,1,,,,,,,,,,"001SCSB3,
001SCSB4
","color",,,"Yes",10,80,,1,"No","Yes",,,,,"Adaa Pvt Ltd","Adaa",10,100,80,50,"silver",,"round neck",,"embellished","cotton silk","self design"
